Month,Sales
1,103026
2,97955
3,107890
4,90523
5,77821
6,77002
7,75145
8,76018
9,90399
10,96062
11,85510
12,86613
13,96569
14,99758
15,102269
16,79119
17,90560
18,100964
19,90093
20,98304
21,99290
22,97069
23,100024
24,98109
25,105559
26,103719
27,100709
28,102359
29,100964
30,90093
31,106781
32,106083
33,105085
34,121063
35,110599
36,111333
37,106083
38,98765
39,118895
40,117045
41,113162
42,92133
43,125764
44,119906
45,149143
46,123684
47,126220
48,106388
49,133934
50,120599
51,127695
52,144081
53,130248
54,93263
55,154001
56,152000
57,151400
58,136000
59,145300
60,118560
61,139189
62,137900
63,147170
64,164978
65,163200
66,135662
67,154150
68,147700
69,153550
70,138100
71,146018
72,121479
73,142154
74,136912
75,147613
76,134068
77,125552
78,113031
79,98210
80,94728
81,112500
82,141550
83,141400
84,124375
85,142250
86,76976
87,0
88,13865
89,52300
90,100000
91,115325
92,150040
93,138956
94,150288
95,152983
96,155417
97,137151
98,33771
99,126196
100,136500
101,105775
102,66415
103,112788
104,113017
105,126031
106,101456
107,126583
108,131514
109,132461
110,137607
111,137658
112,126261
113,128000
114,125710
115,145666
116,156041
117,150885
118,143250
119,135055
120,113535
121,151367
122,150823
123,136787
124,139519
125,146596
126,136019
127,154685
128,158678
129,153106
130,171941
131,136667
132,106492
133,166802
134,163397
135,156330
136,140448
137,146694
138,139918
