Month,Sales
1,0
2,2000
3,1200
4,1700
5,1700
6,1700
7,1700
8,1700
9,1700
10,1730
11,1712
12,1900
13,2075
14,2150
15,2250
16,2250
17,2250
18,2250
19,2250
20,2250
21,2250
22,2250
23,2250
24,2250
25,2800
26,3000
27,3000
28,4400
29,4400
30,4400
31,4400
32,4400
33,4517
34,4545
35,4745
36,5460
37,6875
38,7485
39,8820
40,6150
41,11250
42,11062
43,16675
44,21700
45,29975
46,20325
47,24600
48,32600
49,8325
50,7650
51,14625
52,11925
53,16350
54,25025
55,15650
56,16025
57,23025
58,18612
59,19301
60,18612
61,22350
62,20450
63,10000
64,6624
65,14720
66,15456
67,48846
68,43418
69,47036
70,21591
71,17736
72,24675
73,21120
74,21120
75,23760
76,24751
77,23799
78,24751
79,28350
80,27301
81,28350
82,26232
83,26232
84,26232
85,37594
86,36202
87,89575
88,40568
89,39066
90,39066
91,37518
92,38962
93,37518
94,46667
95,44800
96,48533
97,55922
98,53685
99,60395
100,58415
101,56169
102,58415
103,49680
104,53653
105,51666
106,56579
107,56579
108,58842
109,51809
110,51809
111,53881
112,18570
113,19314
114,19314
